id|name|slug|category|description|image|inStock|price|options|ingredients
product-calming|Calming Garden|calming-garden|wellness-blends|Crafted with a calming blend of rosemary; passionflower; lavender; chamomile and rose petals; a soothing floral experience for relaxation and unwinding|/assets/img/calmingtea.webp|true|14|[{"id":"product-calming-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-calming-70g","label":"70g","price":22,"weight":"70g"}]|Rosemary, Passionflower, Lavender, Chamomile and Rose Petals
product-turmeric|Enchanted Turmeric|enchanted-turmeric|wellness-blends|A warming blend of turmeric; ginger root; rose petals; licorice root; juniper berries and cardamom; crafted to support the bodys natural response to inflammation|/assets/img/enchantedturmeric1.webp|true|14|[{"id":"product-turmeric-60g","label":"60g","price":14,"weight":"60g"},{"id":"product-turmeric-100g","label":"100g","price":22,"weight":"100g"}]|Turmeric, Ginger Root, Rose Petals, Liquorice Root, Juniper Berries and Cardamom
product-sleeping|Sleeping Soundly|sleeping-soundly|wellness-blends|An evening blend of lemon balm; passionflower; ginger root and tulsi; crafted to support a peaceful transition into rest|/assets/img/sleepingsoundly1.webp|true|14|[{"id":"product-sleeping-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-sleeping-70g","label":"70g","price":22,"weight":"70g"}]|Lemon Balm, Passionflower, Ginger Root and Tulsi
product-hormone|Hormone Harmony|hormone-harmony|wellness-blends|A harmonious blend of honeybush; rose petals; chasteberry; fennel; lemon verbena and sage; supporting overall wellness with fragrant floral notes|/assets/img/hormoneharmony1.webp|true|14|[{"id":"product-hormone-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-hormone-80g","label":"80g","price":22,"weight":"80g"}]|Honeybush, Rose Petals, Chasteberry, Fennel, Lemon Verbena and Sage
product-winter|Winter Wellness|winter-wellness|wellness-blends|A comforting blend of ginger root; lemon balm; yarrow and echinacea; crafted to offer gentle throat-soothing qualities and warmth during colder months|/assets/img/winterwellness1.webp|true|14|[{"id":"product-winter-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-winter-70g","label":"70g","price":22,"weight":"70g"}]|Ginger Root, Lemon Balm, Yarrow and Echinacea
product-digestive|Digestive Bliss|digestive-bliss|wellness-blends|A delightful blend of meadowsweet; aniseed; ginger root and peppermint; crafted to support digestive comfort and overall well-being|/assets/img/digestivebliss.webp|true|14|[{"id":"product-digestive-50g","label":"50g","price":14,"weight":"50g"}]|Meadowsweet, Aniseed, Ginger Root and Peppermint
product-botanic|Botanic Glow|botanic-glow|wellness-blends|A revitalising blend of nettle; spearmint; linseed and echinacea; crafted to support immune health and promote skin vitality|/assets/img/botanicglow1.webp|true|14|[{"id":"product-botanic-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-botanic-70g","label":"70g","price":22,"weight":"70g"}]|Nettle, Spearmint, Linseed and Echinacea
product-detox|Natures Detox|natures-detox|wellness-blends|A gentle blend of dandelion root; tulsi; lemon peel; dandelion leaf; lemongrass and blue cornflower petals; crafted to support the bodys natural cleansing processes|/assets/img/general3.webp|false|14|[]|Dandelion Root, Tulsi, Lemon Peel, Dandelion Leaf, Lemongrass and Blue Cornflower Petals
product-summer|Summer Breeze|summer-breeze|wellness-blends|A vibrant pink blend of hibiscus; peppermint and lemon balm; perfect for warm days and can be enjoyed hot or cold|/assets/img/summerbreeze1.webp|true|14|[{"id":"product-summer-40g","label":"40g","price":14,"weight":"40g"},{"id":"product-summer-70g","label":"70g","price":22,"weight":"70g"}]|Hibiscus, Peppermint and Lemon Balm
product-red|Nature's Red|rooibos|artisan-blends|A comforting blend of rooibos; honeybush and cinnamon; naturally caffeine-free and gentle on the stomach|/assets/img/naturesred.webp|true|14|[{"id":"product-red-60g","label":"60g","price":14,"weight":"60g"},{"id":"product-red-100g","label":"100g","price":22,"weight":"100g"}]|Roobios, Honeybush and Cinnamon
product-apple|Apple Delight|apple-delight|herbal-infusions|Savour the taste of summer with dried apple pieces; rosehip; lemongrass and spearmint; a naturally sweet and fruity tea enjoyed hot or cold|/assets/img/logo.webp|false|14|[]|Apple Pieces, Rosehip, Lemongrass and Spearmint
product-lemonginger|Lemongrass and Ginger|lemongrass-ginger|herbal-infusions|Aromatic and invigorating; combines the zesty brightness of lemongrass with the warm spice of ginger; perfect hot or iced|/assets/img/lemongrassginger1.webp|true|14|[{"id":"product-lemonginger-40g","label":"40g","price":14,"weight":"40g"},{"id":"product-lemonginger-70g","label":"70g","price":22,"weight":"70g"}]|Lemongrass and Ginger
product-ceylon|Ceylon Chai|ceylon-chai|black-tea|Enjoy the vibrant warmth of Ceylon Chai; a fusion of rich Ceylon Black Tea with ginger; cardamom; cinnamon; star anise; cloves and peppercorn|/assets/img/ceylonchai1.webp|true|14|[{"id":"product-ceylon-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-ceylon-100g","label":"100g","price":22,"weight":"100g"}]|Ceylon Black Tea, Ginger, Cardamon, Cinnamon, Star Anise, Cloves and Peppercorn
product-french|French Earl Grey|french-earl-grey|black-tea|A refined blend of classic black tea infused with aromatic bergamot oil; enriched with rose petals and blue cornflower petals|/assets/img/frenchearlgrey1.webp|true|14|[{"id":"product-french-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-french-70g","label":"70g","price":22,"weight":"70g"}]|Black Tea, Bergamot, Rose Petals, Calendula Petals and Blue Cornflower Petals
product-english|English Breakfast|english-breakfast|black-tea|Start your day with the robust and hearty flavour of English Breakfast tea; a classic blend of premium black teas; perfect with or without milk|/assets/img/logo.webp|true|14|[{"id":"product-english-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-english-80g","label":"80g","price":22,"weight":"80g"}]|Black Tea
product-lemonlift|Lemon Lift|lemon-lift|black-tea|Awaken your senses with a zesty and refreshing blend of premium black tea; lemon peel; lemon verbena and lemongrass; a perfect revitalising pick-me-up|/assets/img/logo.webp|true|14|[{"id":"product-lemonlift-50g","label":"50g","price":14,"weight":"50g"}]|Black Tea, Lemon Myrtle, Lemon Peel, Lemon Verbena and Lemongrass
product-rainforest|Australian Rainforest|australian-rainforest|black-tea|Australian grown black tea from the Daintree blended with lemon myrtle for a smooth and aromatic infusion|/assets/img/rainforest1.webp|true|14|[{"id":"product-rainforest-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-rainforest-80g","label":"80g","price":22,"weight":"80g"}]|Black Tea and Lemon Myrtle
product-energiser|Energiser|energiser|green-tea|Ignite your day with Sencha Green Tea and aromatic Tulsi; rich in antioxidants; supporting overall wellness and vitality|/assets/img/energizer1.webp|true|14|[{"id":"product-energiser-50g","label":"50g","price":14,"weight":"50g"},{"id":"product-energiser-80g","label":"80g","price":22,"weight":"80g"}]|Sencha Green Tea and Tulsi
product-orangeginger|Orange and Ginger|orange-ginger|green-tea|A warming and citrus-forward blend combining the brightness of orange with the spice of ginger; perfect for a soothing and energising cup|/assets/img/logo.webp|false|14|[]|
product-calendula|Calendula Cream|calendula-cream|creams|A soothing cream infused with calendula flowers and chamomile essential oil; a rich avocado-cream base for moisturising dry or sensitive skin|/assets/img/logo.webp|true|18|[{"id":"product-calendula-50ml","label":"50ml","price":18}]|Purified Water, Avocado Oil, Sweet Almond Oil, Soybean Oil, Calendula Flowers, Cetearyl Alcohol, PE-20 Stearate, Cocoa Butter, Glycerine, Phenoxyethanol, Ethylhexylglycerin, Rosehip Oil, Jojoba Oil, Chamomile Essential Oil, Natural Vitamin E, Propanediol and Rosemary Leaf Extract
product-calmbalm|Calm Balm|calm-balm|balms|Calm your mind and ease tension with lavender; rosemary and peppermint essential oil; perfect for a relaxing massage or nightly ritual to promote tranquility|/assets/img/calmbalm.webp|true|12|[{"id":"product-calmbalm-30ml","label":"30ml","price":12}]|Lavender, Rosemary and Peppermint Essential Oil
product-sleepbalm|Sleep Balm|sleep-balm|balms|Prepare for restful sleep with lavender and chamomile aroma; a natural sleep balm for pulse point application before bedtime|/assets/img/logo.webp|true|12|[{"id":"product-sleepbalm-30ml","label":"30ml","price":12}]|Lavender and Chamomile
product-floralspray|Lavender Floral Spray|lavender-floral-spray|selfcare|Calm your senses with this refreshing lavender floral spray; perfect for freshening linens; pillows or as a gentle room spray|/assets/img/logo.webp|true|10|[{"id":"product-floralspray-50ml","label":"50ml","price":10}]|Purified Water, Lavender Essential Oil and Polysorbate 80
product-magnesium|Magnesium Chloride Flakes|magnesium-chloride-flakes|selfcare|Soothing bath flakes rich in magnesium to help relax muscles and promote overall wellness; add to warm bath water for a restorative soak|/assets/img/logo.webp|true|10|[{"id":"product-magnesium-200g","label":"200g","price":10}]|Magnesium Chloride Flakes
product-pillow|Herbal Eye Pillow|herbal-eye-pillow|accessories|Washable and refillable herbal eye pillow filled with flaxseeds and calming herbs; perfect for relaxation; meditation or relieving tired eyes|/assets/img/herbaleyepillow.webp|true|20|[{"id":"product-pillow-1","label":"1 pillow","price":20}]|Flaxseed and Calming Herbs
product-bag|Biodegradable Tea Bags|biodegradable-tea-bags|accessories|Compostable tea bags made from plant-based materials; 10 pack for convenient single-serving brews|/assets/img/logo.webp|true|4|[{"id":"product-bag-10pack","label":"10 pack","price":4}]|Plant-based Materials
product-infuser|Tea Infuser Stick|tea-infuser-stick|accessories|Convenient tea infuser stick for brewing loose leaf tea directly in your cup; fine mesh prevents leaves from escaping|/assets/img/logo.webp|false|10|[]
product-flask|Vacuum Flask with Infuser|vacuum-flask-infuser|accessories|High-quality vacuum flask with built-in stainless steel tea infuser; maintains temperature for hours; 500ml capacity; BPA-free|/assets/img/logo.webp|true|30|[{"id":"product-flask-500ml","label":"500ml","price":30}]|Stainless Steel and BPA-free Materials
product-pot|800mL Glass Tea Pot|glass-tea-pot|accessories|Elegant borosilicate glass teapot with stainless steel infuser; perfect for brewing and serving loose leaf tea|/assets/img/logo.webp|true|30|[{"id":"product-pot-800ml","label":"800ml","price":30}]|Borosilicate Glass and Stainless Steel
product-scoop|Tea Scoop|tea-scoop|accessories|Perfectly sized scoop for measuring loose leaf tea; made from durable materials with a comfortable grip|/assets/img/logo.webp|true|3|[{"id":"product-scoop-1","label":"1 scoop","price":3}]|Durable Materials
